shop_id,is_bad,open_months,avg_monthly_orders,order_volatility,interruption_count,avg_order_value,repurchase_rate,refund_rate,dispute_rate,positive_review_rate,gmv_yoy_growth,gmv_mom_volatility,sku_change_rate,revenue_trend_slope,customer_hhi,new_customer_ratio,customer_geo_entropy,avg_settlement_days,platform_penalty_count,abnormal_large_txn_ratio
SHOP000040,0,19.0,87.0,0.211,1,110.1,0.139,0.099,0.047,0.826,-0.199,0.387,0.097,-1.386,0.143,0.333,2.034,4.1,1,0.069
SHOP000041,1,18.0,102.0,0.218,2,93.2,0.265,0.013,0.039,0.839,-0.03,0.198,-0.173,-0.029,0.214,0.496,1.968,4.8,0,0.047
SHOP000042,0,25.0,163.0,0.577,0,90.2,0.393,0.08,0.001,0.977,-0.02,0.098,0.279,0.843,0.143,0.641,2.276,2.1,1,0.022
SHOP000043,0,15.0,39.0,0.606,1,66.5,0.229,0.114,0.033,0.921,0.003,0.17,0.105,1.606,0.288,0.603,2.45,9.1,2,0.063
SHOP000044,0,20.0,152.0,0.457,0,89.2,0.497,0.045,0.022,0.97,0.113,0.316,0.071,1.247,0.117,0.658,2.428,0.7,1,0.045
SHOP000045,0,19.0,193.0,0.532,1,89.5,0.239,0.082,0.061,0.784,0.065,0.318,-0.092,-0.238,0.177,0.448,2.098,5.0,2,0.029
SHOP000046,1,15.0,136.0,0.198,2,63.2,0.205,0.119,0.017,0.825,0.002,0.221,0.16,-1.706,0.086,0.369,1.75,5.4,1,0.076
SHOP000047,0,21.0,158.0,0.252,2,115.5,0.299,0.037,0.041,0.802,-0.01,0.285,-0.004,0.326,0.182,0.296,2.258,3.6,0,0.031
SHOP000048,0,16.0,60.0,0.56,0,71.4,0.254,0.111,0.048,0.862,0.068,0.259,0.084,0.528,0.244,0.426,1.64,2.7,2,0.048
SHOP000049,0,21.0,144.0,0.468,1,138.1,0.303,0.067,0.022,0.957,0.036,0.178,0.058,1.966,0.18,0.332,1.736,5.4,0,0.039
SHOP000050,0,1.0,194.0,0.471,0,65.5,0.362,0.101,0.008,0.924,0.056,0.228,0.1,0.088,0.182,0.437,1.788,8.1,0,0.022
SHOP000051,0,3.0,89.0,0.762,1,103.9,0.147,0.119,0.032,0.848,0.252,0.264,0.028,-0.317,0.159,0.492,1.528,5.9,1,0.025
SHOP000052,0,22.0,212.0,0.292,1,96.0,0.332,0.039,0.02,0.885,0.196,0.068,0.012,-0.847,0.15,0.331,2.145,3.2,0,0.01
SHOP000053,0,34.0,175.0,0.333,2,58.8,0.207,0.054,0.021,0.963,0.145,0.138,0.013,-0.563,0.149,0.426,2.366,2.0,0,0.035
SHOP000054,0,8.0,209.0,0.693,1,100.8,0.433,0.027,0.03,0.919,0.256,0.277,0.009,0.266,0.184,0.222,2.538,2.7,0,0.033
SHOP000055,0,25.0,178.0,0.298,2,66.6,0.235,0.06,0.007,0.919,-0.054,0.103,-0.042,0.585,0.063,0.315,1.849,6.8,1,0.041
SHOP000056,0,8.0,213.0,0.287,0,59.4,0.138,0.076,0.02,0.843,-0.201,0.247,-0.017,0.137,0.042,0.217,1.444,3.9,0,0.002
SHOP000057,0,23.0,127.0,0.717,1,134.3,0.081,0.069,0.055,0.946,-0.088,0.191,-0.043,-1.677,0.222,0.506,1.805,4.7,2,0.015
SHOP000058,1,20.0,274.0,0.402,2,79.5,0.437,0.042,0.009,0.9,-0.051,0.165,-0.081,0.114,0.122,0.43,2.423,6.5,1,0.051
SHOP000059,0,1.0,152.0,0.454,0,88.1,0.287,0.079,0.068,0.813,-0.194,0.185,-0.065,0.359,0.28,0.554,2.132,3.3,2,0.0
SHOP000060,0,18.0,137.0,0.436,1,11.8,0.31,0.006,0.017,0.934,0.253,0.136,0.148,-0.844,0.167,0.485,1.589,8.0,0,0.008
SHOP000061,0,13.0,126.0,0.495,1,144.2,0.172,0.078,0.017,0.988,0.256,0.186,-0.03,0.309,0.146,0.355,2.878,8.0,1,0.042
SHOP000062,0,13.0,212.0,0.393,2,38.4,0.282,0.022,0.039,0.922,0.16,0.134,-0.022,-0.037,0.104,0.352,2.237,5.6,1,0.023
SHOP000063,1,3.0,13.0,0.27,0,57.4,0.304,0.103,0.032,0.908,-0.35,0.253,-0.068,-0.214,0.16,0.478,2.369,6.2,0,0.033
SHOP000064,1,19.0,75.0,0.741,1,77.7,0.177,0.057,0.053,0.811,0.094,0.213,-0.245,-0.613,0.081,0.383,2.327,3.2,2,0.095
SHOP000065,1,21.0,288.0,0.554,2,62.5,0.215,0.008,0.022,0.92,-0.15,0.225,0.077,-1.146,0.126,0.373,0.963,0.0,0,0.06
SHOP000066,0,13.0,100.0,0.394,2,158.5,0.257,0.072,0.023,0.892,0.229,0.177,0.04,0.786,0.105,0.526,1.206,1.5,2,0.006
SHOP000067,0,17.0,178.0,0.378,2,146.5,0.209,0.062,0.022,0.849,0.562,0.172,0.143,0.077,0.146,0.472,1.816,6.9,1,0.04
SHOP000068,0,9.0,122.0,0.278,2,91.2,0.184,0.069,0.035,0.811,-0.044,0.131,-0.084,1.38,0.25,0.432,1.204,5.0,2,0.023
SHOP000069,0,25.0,52.0,0.468,1,91.8,0.224,0.039,0.018,0.867,0.071,0.269,-0.063,0.15,0.132,0.511,1.836,3.4,0,0.032
SHOP000070,0,21.0,77.0,0.163,3,80.0,0.354,0.021,0.027,0.855,-0.14,0.135,0.023,0.509,0.147,0.374,2.465,4.9,2,0.032
SHOP000071,1,7.0,125.0,0.317,2,14.6,0.416,0.101,0.028,0.957,0.048,0.19,0.11,-0.027,0.155,0.429,2.287,4.5,0,0.0
SHOP000072,0,21.0,230.0,0.265,1,85.4,0.262,0.051,0.024,0.839,0.123,0.172,0.129,2.407,0.177,0.565,2.314,2.5,1,0.036
SHOP000073,1,13.0,202.0,0.583,0,41.9,0.251,0.04,0.024,0.858,-0.346,0.278,0.04,-0.95,0.008,0.475,1.719,4.5,2,0.042
SHOP000074,0,17.0,177.0,0.28,0,69.3,0.35,0.057,0.049,0.901,0.13,0.127,-0.028,2.161,0.092,0.486,1.713,4.9,1,0.031
SHOP000075,1,7.0,124.0,0.493,2,116.6,0.359,0.134,0.039,0.918,-0.012,0.128,0.044,-0.401,0.151,0.264,2.39,9.0,1,0.034
SHOP000076,0,10.0,184.0,0.279,0,53.4,0.369,0.048,0.02,0.837,-0.072,0.173,-0.078,-1.314,0.0,0.437,1.415,6.2,1,0.034
SHOP000077,1,27.0,185.0,0.474,2,104.8,0.227,0.07,0.052,0.794,0.0,0.259,0.053,0.709,0.119,0.554,2.079,7.9,2,0.02
SHOP000078,0,10.0,125.0,0.584,2,98.3,0.171,0.04,0.014,0.881,-0.136,0.119,0.15,0.93,0.129,0.6,1.847,1.0,1,0.073
SHOP000079,0,16.0,173.0,0.237,0,39.6,0.232,0.064,0.022,0.917,0.066,0.12,0.148,-1.02,0.213,0.397,2.351,2.6,0,0.002
SHOP000080,0,4.0,138.0,0.259,0,32.5,0.232,0.143,0.04,0.907,0.143,0.24,-0.004,-2.997,0.169,0.371,1.884,2.9,2,0.041
SHOP000081,0,24.0,67.0,0.326,0,95.8,0.266,0.055,0.017,0.795,0.058,0.174,-0.011,1.66,0.221,0.371,2.772,1.7,1,0.029
SHOP000082,0,17.0,1.0,0.453,1,44.2,0.18,0.07,0.031,0.906,0.089,0.299,0.054,-0.459,0.197,0.528,1.852,1.5,2,0.06
SHOP000083,0,22.0,247.0,0.344,0,117.3,0.246,0.045,0.031,0.875,-0.023,0.237,0.011,1.019,0.105,0.34,2.386,1.7,0,0.072
SHOP000084,0,25.0,338.0,0.196,1,117.4,0.37,0.047,0.004,0.856,0.173,0.108,0.075,2.972,0.146,0.315,2.329,0.3,1,0.014
SHOP000085,0,9.0,1.0,0.629,2,41.9,0.285,0.0,0.033,0.742,0.139,0.199,-0.182,0.059,0.181,0.44,1.715,7.9,0,0.019
SHOP000086,0,15.0,317.0,0.346,1,119.1,0.283,0.024,0.022,0.863,0.238,0.11,0.033,-0.353,0.205,0.426,2.062,4.4,1,0.031
SHOP000087,1,14.0,106.0,0.298,1,122.2,0.237,0.102,0.026,0.917,-0.104,0.255,-0.124,0.042,0.153,0.454,1.893,5.4,0,0.041
SHOP000088,0,21.0,104.0,0.51,1,46.1,0.19,0.114,0.0,0.923,0.416,0.042,0.131,-1.37,0.175,0.482,1.903,5.1,2,0.039
SHOP000089,1,5.0,285.0,0.471,1,78.3,0.271,0.11,0.029,0.862,0.044,0.362,-0.059,-1.723,0.186,0.483,1.604,5.6,0,0.067
SHOP000090,1,17.0,102.0,0.565,1,77.8,0.275,0.097,0.023,0.809,0.082,0.421,0.05,-0.65,0.192,0.635,3.062,5.8,1,0.029
SHOP000091,0,12.0,137.0,0.533,1,115.8,0.332,0.109,0.024,0.853,-0.256,0.143,0.042,1.795,0.081,0.495,2.203,4.2,1,0.042
SHOP000092,0,22.0,28.0,0.179,1,115.5,0.378,0.08,0.022,0.885,0.333,0.073,-0.065,1.3,0.165,0.438,2.445,4.9,1,0.032
SHOP000093,0,13.0,151.0,0.41,2,86.8,0.128,0.009,0.024,0.863,-0.022,0.18,0.076,-0.188,0.153,0.455,2.397,3.4,1,0.014
SHOP000094,0,27.0,185.0,0.281,0,151.7,0.337,0.047,0.008,0.918,0.28,0.112,0.13,0.73,0.189,0.516,3.147,4.3,0,0.024
SHOP000095,0,31.0,198.0,0.315,1,57.6,0.179,0.046,0.025,0.991,0.117,0.066,0.202,0.17,0.134,0.416,2.633,3.7,0,0.015
SHOP000096,0,17.0,201.0,0.315,0,128.4,0.333,0.112,0.012,0.973,0.129,0.105,0.013,0.558,0.115,0.335,2.7,3.3,1,0.005
SHOP000097,0,26.0,220.0,0.535,1,232.8,0.252,0.062,0.021,0.971,-0.108,0.103,-0.004,-0.556,0.12,0.484,2.217,6.3,0,0.027
SHOP000098,0,19.0,57.0,0.665,3,10.0,0.12,0.086,0.035,0.809,-0.067,0.381,0.078,0.052,0.157,0.426,2.619,4.8,3,0.022
SHOP000099,1,29.0,6.0,0.119,0,28.6,0.332,0.08,0.021,0.89,0.208,0.156,0.209,0.918,0.15,0.402,2.669,1.6,1,0.051
SHOP000100,0,20.0,181.0,0.307,0,93.5,0.235,0.045,0.027,0.947,-0.069,0.092,-0.071,0.246,0.141,0.376,1.801,5.7,2,0.021
SHOP000101,0,14.0,81.0,0.574,4,52.8,0.233,0.0,0.019,0.744,-0.271,0.227,-0.063,-1.306,0.17,0.455,1.597,1.4,1,0.058
SHOP000102,1,26.0,50.0,0.038,0,47.3,0.231,0.112,0.013,0.829,0.291,0.089,0.028,1.033,0.156,0.454,2.386,5.4,2,0.017
SHOP000103,1,36.0,8.0,0.507,1,54.5,0.114,0.075,0.016,0.824,0.379,0.267,0.191,-0.087,0.181,0.292,2.07,4.8,0,0.035
SHOP000104,0,34.0,22.0,0.4,1,124.7,0.314,0.048,0.042,0.859,0.039,0.148,-0.058,0.34,0.135,0.518,2.414,3.4,0,0.053
SHOP000105,1,28.0,212.0,0.493,0,120.6,0.187,0.074,0.028,0.896,-0.035,0.124,0.044,0.523,0.083,0.46,2.184,3.2,1,0.015
SHOP000106,0,12.0,293.0,0.295,1,142.6,0.447,0.0,0.044,0.903,0.395,0.113,0.1,1.295,0.057,0.181,2.576,5.5,0,0.007
SHOP000107,0,29.0,81.0,0.329,1,60.8,0.261,0.062,0.009,0.901,-0.144,0.195,0.023,1.61,0.08,0.28,2.645,9.3,2,0.041
SHOP000108,0,8.0,155.0,0.0,3,96.7,0.391,0.087,0.0,0.85,-0.044,0.142,-0.112,-0.228,0.22,0.701,2.426,2.3,1,0.048
SHOP000109,0,33.0,545.0,0.209,0,58.2,0.382,0.058,0.019,1.0,0.469,0.192,0.173,0.613,0.039,0.379,2.734,4.7,0,0.009
SHOP000110,0,2.0,159.0,0.535,1,21.5,0.322,0.101,0.0,0.838,-0.374,0.207,-0.018,1.096,0.068,0.621,1.698,7.7,2,0.05
SHOP000111,0,20.0,157.0,0.443,2,37.2,0.333,0.083,0.024,0.925,0.009,0.186,0.237,0.245,0.164,0.627,1.962,4.1,1,0.012
SHOP000112,0,30.0,231.0,0.466,1,47.7,0.511,0.098,0.029,0.878,0.266,0.138,-0.058,-0.699,0.155,0.07,2.789,4.7,2,0.009
SHOP000113,0,26.0,87.0,0.317,1,96.4,0.262,0.041,0.005,0.995,0.114,0.151,0.302,0.487,0.148,0.343,2.059,6.7,1,0.011
SHOP000114,0,11.0,75.0,0.523,2,72.5,0.01,0.043,0.03,0.899,0.109,0.203,-0.127,1.108,0.159,0.322,2.683,7.4,1,0.054
SHOP000115,0,14.0,157.0,0.384,1,103.3,0.304,0.023,0.013,0.963,0.169,0.11,0.223,1.504,0.104,0.475,2.21,4.4,0,0.044
SHOP000116,1,17.0,131.0,0.578,1,67.3,0.386,0.077,0.027,0.856,0.058,0.236,-0.064,-1.651,0.177,0.83,1.816,2.1,1,0.039
SHOP000117,0,18.0,299.0,0.389,1,89.7,0.36,0.081,0.03,0.936,0.197,0.0,0.066,0.608,0.064,0.629,2.13,9.0,0,0.036
SHOP000118,1,21.0,142.0,0.471,0,57.1,0.132,0.161,0.093,0.882,-0.307,0.353,0.088,-2.137,0.23,0.388,0.669,4.6,0,0.03
SHOP000119,0,30.0,150.0,0.708,1,55.3,0.318,0.063,0.025,0.909,-0.04,0.226,-0.113,0.257,0.234,0.382,1.253,7.2,1,0.002
SHOP000120,0,32.0,240.0,0.507,0,10.4,0.236,0.054,0.011,0.793,-0.004,0.224,0.068,0.314,0.098,0.4,2.155,6.1,0,0.033
SHOP000121,0,16.0,147.0,0.464,0,92.4,0.309,0.044,0.07,0.944,0.081,0.261,0.111,0.056,0.057,0.459,1.609,8.3,1,0.046
SHOP000122,0,5.0,220.0,0.582,0,113.3,0.231,0.101,0.029,0.888,0.07,0.186,0.108,1.117,0.102,0.429,2.217,1.8,2,0.055
SHOP000123,0,14.0,53.0,0.386,2,74.4,0.212,0.032,0.016,0.86,-0.479,0.292,-0.14,0.053,0.187,0.557,2.463,3.2,1,0.071
SHOP000124,0,21.0,57.0,0.548,4,59.4,0.208,0.147,0.028,0.959,0.018,0.098,-0.103,-0.608,0.151,0.387,1.397,8.5,1,0.103
SHOP000125,0,34.0,118.0,0.281,1,86.9,0.37,0.018,0.046,0.854,-0.295,0.198,0.082,2.746,0.249,0.563,2.182,7.1,1,0.035
SHOP000126,1,5.0,169.0,0.546,1,218.9,0.199,0.077,0.046,0.923,0.05,0.269,0.074,0.674,0.184,0.571,0.988,1.3,1,0.004
SHOP000127,0,25.0,300.0,0.128,1,101.0,0.222,0.045,0.007,0.906,0.177,0.17,0.099,-1.413,0.139,0.503,2.362,4.4,0,0.024
SHOP000128,1,27.0,169.0,0.233,1,73.5,0.236,0.089,0.0,0.916,0.01,0.193,0.016,0.266,0.111,0.463,2.371,3.3,0,0.004
SHOP000129,0,13.0,224.0,0.413,1,49.5,0.427,0.043,0.013,0.909,-0.199,0.148,0.141,-1.109,0.147,0.419,2.56,2.9,1,0.01
SHOP000130,1,16.0,98.0,0.563,0,144.5,0.251,0.09,0.036,0.84,0.073,0.177,0.159,-0.175,0.142,0.559,2.106,4.7,0,0.01
SHOP000131,0,29.0,173.0,0.222,1,94.2,0.155,0.0,0.009,0.932,0.12,0.09,0.188,1.601,0.12,0.487,2.062,6.5,0,0.0
SHOP000132,0,23.0,89.0,0.359,2,61.6,0.169,0.07,0.027,0.776,-0.451,0.291,-0.234,-0.555,0.104,0.4,2.375,9.0,2,0.004
SHOP000133,1,14.0,176.0,0.319,0,101.9,0.181,0.065,0.029,0.84,0.171,0.11,0.021,0.538,0.13,0.516,1.854,4.3,2,0.038
SHOP000134,0,29.0,155.0,0.371,0,85.5,0.396,0.073,0.019,0.882,0.129,0.136,-0.04,1.675,0.078,0.525,2.334,6.6,0,0.02
SHOP000135,0,26.0,351.0,0.37,0,57.7,0.385,0.06,0.012,0.906,0.011,0.225,0.289,1.445,0.053,0.383,1.946,3.7,1,0.028
SHOP000136,0,17.0,175.0,0.442,1,110.7,0.298,0.106,0.052,0.97,-0.058,0.287,0.098,-1.41,0.142,0.423,1.834,3.5,1,0.023
SHOP000137,0,27.0,131.0,0.351,4,123.0,0.312,0.084,0.008,0.782,0.127,0.074,-0.241,0.48,0.233,0.628,1.898,7.1,0,0.08
SHOP000138,1,14.0,263.0,0.528,2,29.4,0.277,0.137,0.058,0.874,-0.336,0.228,0.11,-2.02,0.206,0.42,2.168,7.8,0,0.079
SHOP000139,1,22.0,74.0,0.752,1,88.4,0.058,0.076,0.053,0.705,-0.096,0.147,0.015,-1.907,0.215,0.76,2.669,7.1,1,0.042
SHOP000140,0,5.0,199.0,0.444,0,85.6,0.338,0.055,0.014,0.965,0.402,0.125,0.113,-0.896,0.238,0.454,0.762,7.9,0,0.031
SHOP000141,0,24.0,419.0,0.398,0,105.1,0.241,0.029,0.003,0.901,0.007,0.21,0.037,0.285,0.105,0.58,2.625,6.0,0,0.048
SHOP000142,0,13.0,235.0,0.471,1,48.0,0.305,0.044,0.002,0.912,0.535,0.153,0.154,1.239,0.069,0.292,2.896,4.9,0,0.0
SHOP000143,0,1.0,126.0,0.342,0,61.6,0.346,0.085,0.035,0.867,-0.332,0.363,-0.146,0.806,0.122,0.452,2.128,4.7,2,0.062
SHOP000144,0,24.0,138.0,0.328,1,125.6,0.248,0.06,0.01,0.851,-0.067,0.107,0.173,-0.328,0.153,0.493,2.531,2.4,0,0.043
SHOP000145,0,26.0,95.0,0.531,2,90.4,0.228,0.073,0.019,0.843,0.005,0.127,0.06,2.78,0.125,0.396,1.808,3.1,0,0.022
SHOP000146,0,23.0,301.0,0.352,1,53.0,0.32,0.095,0.016,0.889,0.181,0.148,0.178,1.188,0.119,0.559,1.934,3.8,0,0.027
SHOP000147,0,17.0,142.0,0.438,0,65.8,0.294,0.063,0.036,0.907,0.001,0.302,-0.0,0.981,0.177,0.473,2.031,6.2,2,0.049
SHOP000148,0,22.0,122.0,0.238,3,61.9,0.222,0.004,0.051,0.831,-0.016,0.267,0.026,-0.876,0.23,0.328,1.813,0.9,1,0.011
SHOP000149,0,14.0,303.0,0.486,1,109.3,0.227,0.064,0.046,0.753,-0.185,0.175,0.163,0.759,0.189,0.657,2.154,5.3,0,0.039
SHOP000150,0,23.0,188.0,0.456,2,28.4,0.277,0.123,0.016,0.842,0.136,0.105,0.047,-1.048,0.158,0.217,2.883,3.8,1,0.028
SHOP000151,0,19.0,69.0,0.299,0,60.2,0.291,0.061,0.016,0.889,0.366,0.188,0.188,0.349,0.094,0.436,2.228,3.2,1,0.023
SHOP000152,0,14.0,154.0,0.324,1,95.5,0.38,0.036,0.0,0.903,-0.092,0.135,-0.103,2.022,0.052,0.397,2.049,4.4,1,0.022
SHOP000153,0,6.0,106.0,0.352,2,83.6,0.303,0.029,0.0,0.916,0.123,0.235,0.117,-1.043,0.137,0.573,2.595,4.5,1,0.077
SHOP000154,0,18.0,184.0,0.573,2,74.4,0.537,0.058,0.043,0.817,-0.188,0.176,0.074,-0.484,0.26,0.289,2.642,5.9,1,0.061
SHOP000155,1,20.0,158.0,0.301,4,24.6,0.061,0.132,0.041,0.831,0.082,0.38,0.023,-0.69,0.267,0.353,0.202,7.9,2,0.034
SHOP000156,0,11.0,245.0,0.329,2,78.7,0.269,0.079,0.012,0.831,-0.025,0.281,0.091,1.974,0.125,0.575,2.291,7.0,1,0.049
SHOP000157,1,14.0,151.0,0.652,1,63.5,0.196,0.088,0.041,0.909,-0.085,0.162,0.066,-0.298,0.08,0.561,2.2,5.2,2,0.098
SHOP000158,0,26.0,237.0,0.297,1,71.7,0.303,0.066,0.022,0.941,0.407,0.195,0.018,0.51,0.077,0.357,2.324,5.2,0,0.016
SHOP000159,0,23.0,237.0,0.123,2,108.6,0.453,0.061,0.015,0.941,0.228,0.157,0.1,0.644,0.069,0.356,2.063,4.4,1,0.016
SHOP000160,0,23.0,23.0,0.301,2,90.3,0.385,0.029,0.023,0.84,0.014,0.205,0.123,0.372,0.064,0.397,2.431,4.5,0,0.0
SHOP000161,0,6.0,190.0,0.536,0,108.2,0.229,0.013,0.029,0.869,0.046,0.234,0.018,-0.303,0.066,0.399,2.093,4.8,0,0.033
SHOP000162,1,9.0,73.0,0.712,0,162.0,0.172,0.144,0.028,0.82,-0.11,0.204,-0.182,-1.087,0.172,0.731,1.182,3.0,4,0.041
SHOP000163,0,15.0,103.0,0.316,2,67.0,0.417,0.0,0.01,0.922,-0.077,0.183,-0.144,-0.065,0.089,0.254,2.333,4.6,0,0.018
SHOP000164,0,19.0,185.0,0.417,1,101.5,0.303,0.111,0.041,0.81,-0.069,0.393,0.198,0.396,0.176,0.369,1.852,5.0,0,0.032
SHOP000165,1,12.0,152.0,0.266,2,72.0,0.1,0.049,0.025,0.932,-0.069,0.147,-0.035,0.76,0.123,0.455,2.253,4.1,0,0.034
